Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2010-01-04,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-05,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-06,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-07,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-08,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-11,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-12,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-13,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-14,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-15,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-19,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-20,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-21,QQQ EMA 30 Adaptive,1000.0,1000.0,0.0
2010-01-22,QQQ EMA 30 Adaptive,970.6272084805654,1000.0,-0.02937279151943459
2010-01-25,QQQ EMA 30 Adaptive,973.939929328622,1000.0,0.003412969283276418
2010-01-26,QQQ EMA 30 Adaptive,974.8233215547705,1000.0,0.0009070294784580305
2010-01-27,QQQ EMA 30 Adaptive,982.5530035335692,1000.0,0.007929315813321283
2010-01-28,QQQ EMA 30 Adaptive,957.3763250883394,1000.0,-0.0256237356709373
2010-01-29,QQQ EMA 30 Adaptive,940.5918727915197,1000.0,-0.017531718569780808
2010-02-01,QQQ EMA 30 Adaptive,1962.0071857807661,2000.0,0.01103545433200279
2010-02-02,QQQ EMA 30 Adaptive,1979.7773391122687,2000.0,0.009057129586623329
2010-02-03,QQQ EMA 30 Adaptive,1990.7128180855007,2000.0,0.005523590333716798
2010-02-04,QQQ EMA 30 Adaptive,1932.845908518813,2000.0,-0.029068436713206594
2010-02-05,QQQ EMA 30 Adaptive,1949.2491269786617,2000.0,0.008486562942008473
2010-02-08,QQQ EMA 30 Adaptive,1935.1241333049031,2000.0,-0.007246376811594256
2010-02-09,QQQ EMA 30 Adaptive,1955.1725114224955,2000.0,0.010360254297150876
2010-02-10,QQQ EMA 30 Adaptive,1951.0717068075335,2000.0,-0.0020974131903984225
2010-02-11,QQQ EMA 30 Adaptive,1980.6886290267041,2000.0,0.015179822512844433
