Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2011-01-03,QQQ Buy and Hold,10000.0,10000.0,0.0
2011-01-04,QQQ Buy and Hold,9992.733878292462,10000.0,-0.0007266121707538447
2011-01-05,QQQ Buy and Hold,10078.11080835604,10000.0,0.008543901108889272
2011-01-06,QQQ Buy and Hold,10110.808356039965,10000.0,0.0032444124008651717
2011-01-07,QQQ Buy and Hold,10101.725703905542,10000.0,-0.0008983111749909659
2011-01-10,QQQ Buy and Hold,10139.87284287012,10000.0,0.0037762992267577926
2011-01-11,QQQ Buy and Hold,10154.405086285198,10000.0,0.0014331780723754622
2011-01-12,QQQ Buy and Hold,10225.2497729337,10000.0,0.006976744186046522
2011-01-13,QQQ Buy and Hold,10228.88283378747,10000.0,0.00035530289571865565
2011-01-14,QQQ Buy and Hold,10305.177111716624,10000.0,0.007458710708577421
2011-01-18,QQQ Buy and Hold,10334.24159854678,10000.0,0.00282037722545397
2011-01-19,QQQ Buy and Hold,10217.983651226163,10000.0,-0.01124978027772896
2011-01-20,QQQ Buy and Hold,10145.322434150778,10000.0,-0.007111111111111085
2011-01-21,QQQ Buy and Hold,10067.211625794738,10000.0,-0.007699194270367049
2011-01-24,QQQ Buy and Hold,10207.084468664854,10000.0,0.013893901118729629
2011-01-25,QQQ Buy and Hold,10221.616712079933,10000.0,0.001423740879160089
2011-01-26,QQQ Buy and Hold,10276.112624886473,10000.0,0.005331437711036025
2011-01-27,QQQ Buy and Hold,10337.874659400552,10000.0,0.006010252784161151
2011-01-28,QQQ Buy and Hold,10076.294277929162,10000.0,-0.025303110173958844
2011-01-31,QQQ Buy and Hold,10125.340599455049,10000.0,0.004867495943753437
2011-02-01,QQQ Buy and Hold,10314.259763851052,10000.0,0.018658055256548244
2011-02-02,QQQ Buy and Hold,10297.91099000909,10000.0,-0.001585065163790127
2011-02-03,QQQ Buy and Hold,10316.076294277937,10000.0,0.0017639795378373863
2011-02-04,QQQ Buy and Hold,10374.205267938247,10000.0,0.005634794858249697
2011-02-07,QQQ Buy and Hold,10423.251589464135,10000.0,0.004727718438101963
2011-02-08,QQQ Buy and Hold,10490.463215258867,10000.0,0.0064482398048099935
2011-02-09,QQQ Buy and Hold,10474.114441416905,10000.0,-0.0015584415584416174
2011-02-10,QQQ Buy and Hold,10490.463215258867,10000.0,0.0015608740894901738
2011-02-11,QQQ Buy and Hold,10566.757493188023,10000.0,0.007272727272727302
2011-02-14,QQQ Buy and Hold,10592.188919164408,10000.0,0.0024067388688327413
2011-02-15,QQQ Buy and Hold,10577.65667574933,10000.0,-0.0013719773623736135
2011-02-16,QQQ Buy and Hold,10646.684831970946,10000.0,0.006525845783960202
2011-02-17,QQQ Buy and Hold,10643.051771117178,10000.0,-0.0003412386964681116
2011-02-18,QQQ Buy and Hold,10619.436875567677,10000.0,-0.002218808670421617
2011-02-22,QQQ Buy and Hold,10310.626702997286,10000.0,-0.02907971262401647
2011-02-23,QQQ Buy and Hold,10227.06630336059,10000.0,-0.008104298801973235
2011-02-24,QQQ Buy and Hold,10279.745685740247,10000.0,0.005150976909413966
2011-02-25,QQQ Buy and Hold,10423.251589464135,10000.0,0.01396006361547975
2011-02-28,QQQ Buy and Hold,10445.04995458675,10000.0,0.002091321017776184
2011-03-01,QQQ Buy and Hold,10277.92915531336,10000.0,-0.016000000000000028
2011-03-02,QQQ Buy and Hold,10330.608537693015,10000.0,0.005125486037469055
2011-03-03,QQQ Buy and Hold,10534.059945504097,10000.0,0.019694039036398884
2011-03-04,QQQ Buy and Hold,10481.380563124443,10000.0,-0.005000862217623713
2011-03-07,QQQ Buy and Hold,10339.69118982744,10000.0,-0.013518197573656864
2011-03-08,QQQ Buy and Hold,10381.471389645787,10000.0,0.004040758959943725
2011-03-09,QQQ Buy and Hold,10310.626702997286,10000.0,-0.006824146981627307
2011-03-10,QQQ Buy and Hold,10150.772025431437,10000.0,-0.015503875968992168
