Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2021-01-04,Adaptive Simple SMA 30,50000.0,50000.0,0.0
2021-01-05,Adaptive Simple SMA 30,51265.53152323976,50000.0,0.025310630464795245
2021-01-06,Adaptive Simple SMA 30,49125.63276576162,50000.0,-0.04174147217235187
2021-01-07,Adaptive Simple SMA 30,52692.13069489185,50000.0,0.07259953161592492
2021-01-08,Adaptive Simple SMA 30,54716.981132075474,50000.0,0.03842794759825339
2021-01-11,Adaptive Simple SMA 30,52300.966405890475,50000.0,-0.044154751892346536
2021-01-12,Adaptive Simple SMA 30,52093.879429360335,50000.0,-0.0039595248570171515
2021-01-13,Adaptive Simple SMA 30,53106.304647952136,50000.0,0.019434628975264916
2021-01-14,Adaptive Simple SMA 30,52277.956741831564,50000.0,-0.015597920277296336
2021-01-15,Adaptive Simple SMA 30,51012.42521859181,50000.0,-0.024207746478873117
2021-01-19,Adaptive Simple SMA 30,53221.352968246654,50000.0,0.043301759133964696
2021-01-20,Adaptive Simple SMA 30,56948.91854578922,50000.0,0.07003891050583662
2021-01-21,Adaptive Simple SMA 30,58352.50805338241,50000.0,0.024646464646464625
2021-01-22,Adaptive Simple SMA 30,57823.285780027596,50000.0,-0.009069400630914843
2021-01-25,Adaptive Simple SMA 30,59433.96226415093,50000.0,0.02785515320334259
2021-01-26,Adaptive Simple SMA 30,59479.98159226874,50000.0,0.0007742934572204076
2021-01-27,Adaptive Simple SMA 30,54693.97146801655,50000.0,-0.08046421663442947
2021-01-28,Adaptive Simple SMA 30,55499.30971007822,50000.0,0.01472444257467402
2021-01-29,Adaptive Simple SMA 30,52047.860101242506,50000.0,-0.062189054726368154
2021-02-01,Adaptive Simple SMA 30,53349.097991747185,50000.0,0.02500079519068677
2021-02-02,Adaptive Simple SMA 30,55919.874130558725,50000.0,0.04818780889621079
2021-02-03,Adaptive Simple SMA 30,55282.67320726356,50000.0,-0.011394891944990144
2021-02-04,Adaptive Simple SMA 30,57238.220868410805,50000.0,0.03537360890302069
2021-02-05,Adaptive Simple SMA 30,57853.449346075104,50000.0,0.010748560460652498
2021-02-08,Adaptive Simple SMA 30,58974.044073249366,50000.0,0.019369540448158057
2021-02-09,Adaptive Simple SMA 30,58952.07162761849,50000.0,-0.00037257824143075867
2021-02-10,Adaptive Simple SMA 30,58534.595160632,50000.0,-0.0070816250465895545
2021-02-11,Adaptive Simple SMA 30,59479.41032275932,50000.0,0.01614114114114113
2021-02-12,Adaptive Simple SMA 30,60490.14282177924,50000.0,0.016992981159955702
2021-02-16,Adaptive Simple SMA 30,59984.77657226928,50000.0,-0.008354522339266271
2021-02-17,Adaptive Simple SMA 30,59149.8236382963,50000.0,-0.013919413919413882
2021-02-18,Adaptive Simple SMA 30,58358.81559558505,50000.0,-0.01337295690936118
2021-02-19,Adaptive Simple SMA 30,57567.80755287381,50000.0,-0.013554216867469859
