Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-01-02,QQQ 50 Day SMA w/ Gradient,10000.0,0.0
2024-01-03,QQQ 50 Day SMA w/ Gradient,9778.571471960218,-0.02214285280397818
2024-01-04,QQQ 50 Day SMA w/ Gradient,9690.853991808255,-0.00897037776974799
2024-01-05,QQQ 50 Day SMA w/ Gradient,9710.467886933062,0.0020239594097059446
2024-01-08,QQQ 50 Day SMA w/ Gradient,10232.739454640727,0.053784387507265476
2024-01-09,QQQ 50 Day SMA w/ Gradient,10287.952035276581,0.005395679317410436
2024-01-10,QQQ 50 Day SMA w/ Gradient,10480.611959491684,0.01872675179224079
2024-01-11,QQQ 50 Day SMA w/ Gradient,10527.178194135771,0.004443083555050854
2024-01-12,QQQ 50 Day SMA w/ Gradient,10537.835921867905,0.0010124011900995635
2024-01-16,QQQ 50 Day SMA w/ Gradient,10535.564845470379,-0.00021551639391294156
2024-01-17,QQQ 50 Day SMA w/ Gradient,10416.205070692118,-0.011329224064296692
2024-01-18,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.038161764240048975
2024-01-19,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-22,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-23,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-24,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-25,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-26,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-29,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-30,QQQ 50 Day SMA w/ Gradient,10813.705832875872,0.0
2024-01-31,QQQ 50 Day SMA w/ Gradient,10396.353696899954,-0.03859473731078222
2024-02-01,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.030440954686049473
2024-02-02,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-05,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-06,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-07,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-08,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-09,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-12,QQQ 50 Day SMA w/ Gradient,10712.82862868743,0.0
2024-02-13,QQQ 50 Day SMA w/ Gradient,10285.427203810737,-0.039896225328590836
2024-02-14,QQQ 50 Day SMA w/ Gradient,10285.427203810737,0.0
2024-02-15,QQQ 50 Day SMA w/ Gradient,10285.427203810737,0.0
2024-02-16,QQQ 50 Day SMA w/ Gradient,10058.98030287997,-0.02201628541465625
