Date,Strategy_Name,Portfolio_Value,Daily_Return
2025-01-02,QQQ Buy and Hold,10000.0,0.0
2025-01-03,QQQ Buy and Hold,10163.651686494326,0.016365168649432653
2025-01-06,QQQ Buy and Hold,10280.46175254297,0.011492922981989128
2025-01-07,QQQ Buy and Hold,10097.01507163436,-0.01784420635223246
2025-01-08,QQQ Buy and Hold,10098.77898202771,0.00017469622267951365
2025-01-10,QQQ Buy and Hold,9940.41902671344,-0.015681099229530118
2025-01-13,QQQ Buy and Hold,9908.472649589397,-0.0032137857607602584
2025-01-14,QQQ Buy and Hold,9899.06512749152,-0.0009494422027059462
2025-01-15,QQQ Buy and Hold,10126.805558277636,0.02300625643462434
2025-01-16,QQQ Buy and Hold,10055.857162456143,-0.007005999612928206
2025-01-17,QQQ Buy and Hold,10225.584540305348,0.016878459499493192
2025-01-21,QQQ Buy and Hold,10285.557493679315,0.005864990225016187
2025-01-22,QQQ Buy and Hold,10417.066813005895,0.012785823170731778
2025-01-23,QQQ Buy and Hold,10439.213687944648,0.002126018325149095
2025-01-24,QQQ Buy and Hold,10380.220684789208,-0.005651096425352942
2025-01-27,QQQ Buy and Hold,10078.004037394898,-0.029114664954779674
2025-01-28,QQQ Buy and Hold,10226.956470611289,0.014779953715407924
2025-01-29,QQQ Buy and Hold,10207.749446328124,-0.0018780782277072203
2025-01-30,QQQ Buy and Hold,10251.259236030804,0.004262427279534423
2025-01-31,QQQ Buy and Hold,10236.363992709164,-0.0014530159640569562
2025-02-03,QQQ Buy and Hold,10154.44015444015,-0.00800321660380239
2025-02-04,QQQ Buy and Hold,10279.089822237027,0.012275385535890087
2025-02-05,QQQ Buy and Hold,10325.735452639003,0.004537914466032367
2025-02-06,QQQ Buy and Hold,10379.632714658093,0.0052197020024674955
2025-02-07,QQQ Buy and Hold,10248.711365462632,-0.012613293051359636
2025-02-10,QQQ Buy and Hold,10372.77306312839,0.012105102118871034
2025-02-11,QQQ Buy and Hold,10348.078317621463,-0.0023807274444969124
2025-02-12,QQQ Buy and Hold,10354.15400897634,0.0005871323320516401
2025-02-13,QQQ Buy and Hold,10503.106442192731,0.014385765663448843
2025-02-14,QQQ Buy and Hold,10547.204202026533,0.004198544504571748
2025-02-18,QQQ Buy and Hold,10571.114987358638,0.0022670259221407177
2025-02-19,QQQ Buy and Hold,10574.054838014226,0.0002781022303798455
2025-02-20,QQQ Buy and Hold,10529.173118005603,-0.004244513641755567
2025-02-21,QQQ Buy and Hold,10310.64421927366,-0.020754611618859664
2025-02-24,QQQ Buy and Hold,10188.934402132369,-0.011804288321167951
2025-02-25,QQQ Buy and Hold,10060.560923505083,-0.012599303672071776
2025-02-26,QQQ Buy and Hold,10084.863688924599,0.002415647159666281
2025-02-27,QQQ Buy and Hold,9804.793916469042,-0.027771299751243712
2025-02-28,QQQ Buy and Hold,9959.626050996607,0.01579147260479348
2025-03-03,QQQ Buy and Hold,9741.68512239578,-0.02188244091544169
2025-03-04,QQQ Buy and Hold,9712.286615839914,-0.0030178050497937834
2025-03-05,QQQ Buy and Hold,9838.896184073847,0.013036020583190353
2025-03-06,QQQ Buy and Hold,9568.233933716165,-0.027509412163104326
2025-03-07,QQQ Buy and Hold,9638.594359406541,0.007353543629660041
2025-03-10,QQQ Buy and Hold,9265.037336103325,-0.03875637975558674
2025-03-11,QQQ Buy and Hold,9242.890461164572,-0.0023903708247836933
2025-03-12,QQQ Buy and Hold,9347.157164416047,0.011280746395250197
2025-03-13,QQQ Buy and Hold,9178.997706916487,-0.017990438647991363
2025-03-14,QQQ Buy and Hold,9400.85843639143,0.02417047444164507
2025-03-17,QQQ Buy and Hold,9461.811339983928,0.00648375932952499
2025-03-18,QQQ Buy and Hold,9300.511534014073,-0.0170474553099819
2025-03-19,QQQ Buy and Hold,9424.965211767241,0.013381379862603713
2025-03-20,QQQ Buy and Hold,9393.018834643199,-0.003389548545405385
2025-03-21,QQQ Buy and Hold,9423.98526154871,0.0032967491549471773
2025-03-24,QQQ Buy and Hold,9616.447484467786,0.0204225937941936
2025-03-25,QQQ Buy and Hold,9671.324696705404,0.005706599274446571
2025-03-26,QQQ Buy and Hold,9493.365737020556,-0.01840068090625377
2025-03-27,QQQ Buy and Hold,9439.27248495776,-0.005698005698005679
2025-03-28,QQQ Buy and Hold,9190.757109538832,-0.026327810306880958
2025-03-31,QQQ Buy and Hold,9190.36512945142,-4.264937945149019e-05
2025-04-01,QQQ Buy and Hold,9264.449365972205,0.008061076516250048
2025-04-02,QQQ Buy and Hold,9332.065931050698,0.007298497990268646
2025-04-03,QQQ Buy and Hold,8832.487309644666,-0.053533550351779806
2025-04-04,QQQ Buy and Hold,8283.91117731219,-0.06210890693649316
2025-04-07,QQQ Buy and Hold,8303.902161770178,0.0024132301795726733
2025-04-08,QQQ Buy and Hold,8154.361758422669,-0.018008449573980966
2025-04-09,QQQ Buy and Hold,9133.136036689333,0.12003076479353939
2025-04-10,QQQ Buy and Hold,8744.683770064477,-0.042532188841201704
2025-04-11,QQQ Buy and Hold,8905.787585990627,0.018423057958671323
2025-04-14,QQQ Buy and Hold,8966.152519452009,0.006778169014084598
2025-04-15,QQQ Buy and Hold,8976.148011681003,0.0011148028329107083
2025-04-16,QQQ Buy and Hold,8705.485761323322,-0.030153496801240205
2025-04-17,QQQ Buy and Hold,8703.917840973676,-0.00018010716376240282
2025-04-21,QQQ Buy and Hold,8488.524782941024,-0.0247466786759739
2025-04-22,QQQ Buy and Hold,8711.365462634496,0.026251991410957964
2025-04-23,QQQ Buy and Hold,8908.923426689922,0.022678185745140352
2025-04-24,QQQ Buy and Hold,9159.594692589615,0.028137099612812435
2025-04-25,QQQ Buy and Hold,9261.705505360325,0.011147961912913189
2025-04-28,QQQ Buy and Hold,9258.765654704739,-0.0003174200101573922
2025-04-29,QQQ Buy and Hold,9319.914548340941,0.006604432590334556
2025-04-30,QQQ Buy and Hold,9318.738608078707,-0.00012617500473144792
2025-05-01,QQQ Buy and Hold,9440.448425219996,0.013060760931288997
2025-05-02,QQQ Buy and Hold,9580.581306469629,0.014843879754193608
2025-05-05,QQQ Buy and Hold,9523.744193794953,-0.005932532782357829
2025-05-06,QQQ Buy and Hold,9435.15669403994,-0.009301751281048673
2025-05-07,QQQ Buy and Hold,9472.198812300332,0.003925967470555215
2025-05-08,QQQ Buy and Hold,9569.997844109515,0.010324849989654477
2025-05-09,QQQ Buy and Hold,9563.726162710931,-0.0006553482561592357
2025-05-12,QQQ Buy and Hold,9953.354369598022,0.04074020943910485
2025-05-13,QQQ Buy and Hold,10105.050663426295,0.015240720685241722
2025-05-14,QQQ Buy and Hold,10165.611586931378,0.005993134079404019
2025-05-15,QQQ Buy and Hold,10176.783019422608,0.0010989434718902793
2025-05-16,QQQ Buy and Hold,10221.076769300113,0.00435243139142993
2025-05-19,QQQ Buy and Hold,10230.8762714854,0.0009587543863013174
2025-05-20,QQQ Buy and Hold,10196.774003880593,-0.003333269477596232
2025-05-21,QQQ Buy and Hold,10055.073202281314,-0.013896630595652293
2025-05-22,QQQ Buy and Hold,10073.88824647707,0.001871199126773812
2025-05-23,QQQ Buy and Hold,9980.596985673119,-0.00926070038910504
2025-05-27,QQQ Buy and Hold,10215.393058032643,0.023525253318670995
2025-05-28,QQQ Buy and Hold,10170.119357936606,-0.004431909750201564
2025-05-29,QQQ Buy and Hold,10190.110342394595,0.0019656587847603282
2025-05-30,QQQ Buy and Hold,10174.039158810721,-0.0015771353836092096
2025-06-02,QQQ Buy and Hold,10254.395076730092,0.007898133343607372
2025-06-03,QQQ Buy and Hold,10334.555004605754,0.007817128877506007
2025-06-04,QQQ Buy and Hold,10363.365541030505,0.002787786838611848
2025-06-05,QQQ Buy and Hold,10285.361503635604,-0.007526902055714239
2025-06-06,QQQ Buy and Hold,10385.904396056669,0.009775338706911328
2025-06-09,QQQ Buy and Hold,10401.19161946572,0.0014719202898552356
2025-06-10,QQQ Buy and Hold,10469.98412480645,0.006613906161673244
2025-06-11,QQQ Buy and Hold,10434.705916939407,-0.003369461447745396
2025-06-12,QQQ Buy and Hold,10459.20467240263,0.0023478146541199454
2025-06-13,QQQ Buy and Hold,10327.891343119758,-0.012554810178765379
2025-06-16,QQQ Buy and Hold,10471.552045156093,0.013909974191589356
2025-06-17,QQQ Buy and Hold,10369.441232385385,-0.009751258679743066
2025-06-18,QQQ Buy and Hold,10367.677321992032,-0.00017010660013614542
2025-06-20,QQQ Buy and Hold,10325.343472551585,-0.004083252991549874
2025-06-23,QQQ Buy and Hold,10419.810673617769,0.009149061367044277
2025-06-24,QQQ Buy and Hold,10579.150579150568,0.015292015423680985
2025-06-25,QQQ Buy and Hold,10606.197205181967,0.0025565971321649477
