Date,Allocation
1999-03-10,{}
1999-03-11,{}
1999-03-12,{}
1999-03-15,{}
1999-03-16,{}
1999-03-17,{}
1999-03-18,{}
1999-03-19,{}
1999-03-22,{}
1999-03-23,{}
1999-03-24,{}
1999-03-25,{}
1999-03-26,{}
1999-03-29,{}
1999-03-30,{}
1999-03-31,{}
1999-04-01,{}
1999-04-05,{}
1999-04-06,{}
1999-04-07,{}
1999-04-08,{}
1999-04-09,{}
1999-04-12,{}
1999-04-13,{}
1999-04-14,{}
1999-04-15,{}
1999-04-16,{}
1999-04-19,{}
1999-04-20,{}
1999-04-21,{}
1999-04-22,{}
1999-04-23,{}
1999-04-26,{}
1999-04-27,{}
1999-04-28,{}
1999-04-29,{}
1999-04-30,{}
1999-05-03,{}
1999-05-04,{}
1999-05-05,{}
1999-05-06,{}
1999-05-07,{}
1999-05-10,{}
1999-05-11,{}
1999-05-12,{}
1999-05-13,{}
1999-05-14,{}
1999-05-17,{}
1999-05-18,{}
1999-05-19,"{""SQQQ"": 18.62053468584658, ""TQQQ"": 81.37946531415342}"
1999-05-20,"{""SQQQ"": 47.81526746937035, ""TQQQ"": 52.18473253062965}"
1999-05-21,"{""SQQQ"": 57.643951021393256, ""TQQQ"": 42.356048978606744}"
1999-05-24,"{""SQQQ"": 83.44225717333211, ""TQQQ"": 16.557742826667887}"
1999-05-25,"{""SQQQ"": 100.0}"
1999-05-26,"{""SQQQ"": 88.05528730082088, ""TQQQ"": 11.944712699179114}"
1999-05-27,"{""SQQQ"": 88.86421858434794, ""TQQQ"": 11.135781415652051}"
1999-05-28,"{""SQQQ"": 72.82281375708499, ""TQQQ"": 27.177186242915006}"
1999-06-01,"{""SQQQ"": 94.39848432239842, ""TQQQ"": 5.60151567760158}"
1999-06-02,"{""SQQQ"": 78.7727716852084, ""TQQQ"": 21.2272283147916}"
1999-06-03,"{""SQQQ"": 93.32551810444262, ""TQQQ"": 6.674481895557381}"
1999-06-04,"{""SQQQ"": 64.70039886554942, ""TQQQ"": 35.29960113445059}"
1999-06-07,"{""SQQQ"": 44.68071089494307, ""TQQQ"": 55.31928910505693}"
1999-06-08,"{""SQQQ"": 70.10967545249586, ""TQQQ"": 29.89032454750414}"
1999-06-09,"{""SQQQ"": 53.57238310703218, ""TQQQ"": 46.42761689296782}"
1999-06-10,"{""SQQQ"": 64.80522023329883, ""TQQQ"": 35.19477976670118}"
1999-06-11,"{""SQQQ"": 79.42970992113429, ""TQQQ"": 20.570290078865717}"
1999-06-14,"{""SQQQ"": 96.71241140099535, ""TQQQ"": 3.2875885990046525}"
1999-06-15,"{""SQQQ"": 81.14239110735213, ""TQQQ"": 18.85760889264787}"
1999-06-16,"{""SQQQ"": 30.767559848739545, ""TQQQ"": 69.23244015126045}"
1999-06-17,"{""SQQQ"": 19.352596264280987, ""TQQQ"": 80.64740373571901}"
1999-06-18,"{""SQQQ"": 14.473564886188417, ""TQQQ"": 85.52643511381159}"
1999-06-21,"{""cash"": 100.0}"
1999-06-22,"{""SQQQ"": 15.975806025070426, ""TQQQ"": 84.02419397492957}"
1999-06-23,"{""SQQQ"": 0.009818286180585112, ""TQQQ"": 99.99018171381941}"
1999-06-24,"{""SQQQ"": 21.71751476387247, ""TQQQ"": 78.28248523612753}"
1999-06-25,"{""SQQQ"": 23.483705491852636, ""TQQQ"": 76.51629450814737}"
1999-06-28,"{""SQQQ"": 0.7342224096956063, ""TQQQ"": 99.2657775903044}"
1999-06-29,"{""cash"": 100.0}"
1999-06-30,"{""cash"": 100.0}"
1999-07-01,"{""cash"": 100.0}"
1999-07-02,"{""cash"": 100.0}"
1999-07-06,"{""cash"": 100.0}"
1999-07-07,"{""cash"": 100.0}"
1999-07-08,"{""cash"": 100.0}"
1999-07-09,"{""cash"": 100.0}"
1999-07-12,"{""cash"": 100.0}"
1999-07-13,"{""cash"": 100.0}"
1999-07-14,"{""cash"": 100.0}"
1999-07-15,"{""cash"": 100.0}"
1999-07-16,"{""cash"": 100.0}"
1999-07-19,"{""cash"": 100.0}"
1999-07-20,"{""cash"": 100.0}"
1999-07-21,"{""cash"": 100.0}"
1999-07-22,"{""SQQQ"": 14.302737238892538, ""TQQQ"": 85.69726276110747}"
1999-07-23,"{""SQQQ"": 13.526156374650489, ""TQQQ"": 86.47384362534952}"
1999-07-26,"{""SQQQ"": 39.50436470152121, ""TQQQ"": 60.49563529847879}"
1999-07-27,"{""SQQQ"": 20.488423665881538, ""TQQQ"": 79.51157633411846}"
1999-07-28,"{""SQQQ"": 1.586303385732779, ""TQQQ"": 98.41369661426722}"
1999-07-29,"{""SQQQ"": 25.076674620791106, ""TQQQ"": 74.92332537920889}"
1999-07-30,"{""SQQQ"": 30.777164197468387, ""TQQQ"": 69.22283580253162}"
1999-08-02,"{""SQQQ"": 34.79267503605716, ""TQQQ"": 65.20732496394284}"
1999-08-03,"{""SQQQ"": 42.45742180306975, ""TQQQ"": 57.54257819693025}"
1999-08-04,"{""SQQQ"": 61.94322640203114, ""TQQQ"": 38.056773597968856}"
1999-08-05,"{""SQQQ"": 48.44558466885908, ""TQQQ"": 51.55441533114092}"
1999-08-06,"{""SQQQ"": 60.688942782718016, ""TQQQ"": 39.31105721728198}"
1999-08-09,"{""SQQQ"": 74.63881492539464, ""TQQQ"": 25.36118507460537}"
1999-08-10,"{""SQQQ"": 84.15162403092438, ""TQQQ"": 15.848375969075615}"
1999-08-11,"{""SQQQ"": 54.02684563758391, ""TQQQ"": 45.97315436241608}"
1999-08-12,"{""SQQQ"": 67.07033693806414, ""TQQQ"": 32.92966306193586}"
1999-08-13,"{""SQQQ"": 26.59671597928591, ""TQQQ"": 73.40328402071408}"
1999-08-16,"{""SQQQ"": 20.424395157702293, ""TQQQ"": 79.57560484229771}"
1999-08-17,"{""SQQQ"": 17.176356458301502, ""TQQQ"": 82.8236435416985}"
1999-08-18,"{""SQQQ"": 30.684792554814067, ""TQQQ"": 69.31520744518593}"
1999-08-19,"{""SQQQ"": 44.120563859177, ""TQQQ"": 55.879436140823}"
1999-08-20,"{""SQQQ"": 30.122102539266294, ""TQQQ"": 69.8778974607337}"
1999-08-23,"{""SQQQ"": 0.7395761361551623, ""TQQQ"": 99.26042386384484}"
1999-08-24,"{""cash"": 100.0}"
1999-08-25,"{""cash"": 100.0}"
1999-08-26,"{""cash"": 100.0}"
1999-08-27,"{""SQQQ"": 10.691105538679302, ""TQQQ"": 89.3088944613207}"
1999-08-30,"{""SQQQ"": 26.748721806606202, ""TQQQ"": 73.2512781933938}"
1999-08-31,"{""SQQQ"": 16.49502470252614, ""TQQQ"": 83.50497529747386}"
1999-09-01,"{""SQQQ"": 10.858542006737537, ""TQQQ"": 89.14145799326246}"
1999-09-02,"{""SQQQ"": 15.948975486591731, ""TQQQ"": 84.05102451340827}"
1999-09-03,"{""cash"": 100.0}"
1999-09-07,"{""cash"": 100.0}"
1999-09-08,"{""cash"": 100.0}"
1999-09-09,"{""cash"": 100.0}"
1999-09-10,"{""cash"": 100.0}"
1999-09-13,"{""cash"": 100.0}"
1999-09-14,"{""cash"": 100.0}"
1999-09-15,"{""SQQQ"": 4.329428084309638, ""TQQQ"": 95.67057191569036}"
1999-09-16,"{""SQQQ"": 5.904990426000256, ""TQQQ"": 94.09500957399975}"
1999-09-17,"{""cash"": 100.0}"
1999-09-20,"{""cash"": 100.0}"
1999-09-21,"{""SQQQ"": 1.480682753600604, ""TQQQ"": 98.5193172463994}"
1999-09-22,"{""cash"": 100.0}"
1999-09-23,"{""SQQQ"": 35.364925431457706, ""TQQQ"": 64.6350745685423}"
1999-09-24,"{""SQQQ"": 33.75365372850266, ""TQQQ"": 66.24634627149733}"
1999-09-27,"{""SQQQ"": 26.31343643861791, ""TQQQ"": 73.68656356138209}"
1999-09-28,"{""SQQQ"": 21.5641743955178, ""TQQQ"": 78.4358256044822}"
1999-09-29,"{""SQQQ"": 42.530212199067485, ""TQQQ"": 57.469787800932515}"
1999-09-30,"{""SQQQ"": 32.513705749281684, ""TQQQ"": 67.48629425071832}"
1999-10-01,"{""SQQQ"": 33.21015805797036, ""TQQQ"": 66.78984194202964}"
1999-10-04,"{""SQQQ"": 11.809920407686047, ""TQQQ"": 88.19007959231395}"
1999-10-05,"{""SQQQ"": 6.681398124697724, ""TQQQ"": 93.31860187530228}"
1999-10-06,"{""cash"": 100.0}"
1999-10-07,"{""cash"": 100.0}"
1999-10-08,"{""cash"": 100.0}"
1999-10-11,"{""cash"": 100.0}"
1999-10-12,"{""cash"": 100.0}"
1999-10-13,"{""SQQQ"": 31.264480633508953, ""TQQQ"": 68.73551936649105}"
1999-10-14,"{""SQQQ"": 27.178471613829423, ""TQQQ"": 72.82152838617057}"
1999-10-15,"{""SQQQ"": 58.622983978282846, ""TQQQ"": 41.377016021717154}"
1999-10-18,"{""SQQQ"": 72.49068840976977, ""TQQQ"": 27.50931159023023}"
1999-10-19,"{""SQQQ"": 68.73948827164787, ""TQQQ"": 31.260511728352125}"
1999-10-20,"{""SQQQ"": 41.25623018420818, ""TQQQ"": 58.74376981579182}"
1999-10-21,"{""SQQQ"": 26.845261882036663, ""TQQQ"": 73.15473811796333}"
1999-10-22,"{""SQQQ"": 33.714385516282356, ""TQQQ"": 66.28561448371765}"
1999-10-25,"{""SQQQ"": 34.66550396525043, ""TQQQ"": 65.33449603474956}"
1999-10-26,"{""SQQQ"": 44.00445721272996, ""TQQQ"": 55.99554278727004}"
1999-10-27,"{""SQQQ"": 46.46991215827935, ""TQQQ"": 53.53008784172065}"
1999-10-28,"{""SQQQ"": 13.621882589699707, ""TQQQ"": 86.37811741030029}"
1999-10-29,"{""cash"": 100.0}"
1999-11-01,"{""cash"": 100.0}"
1999-11-02,"{""cash"": 100.0}"
1999-11-03,"{""cash"": 100.0}"
1999-11-04,"{""cash"": 100.0}"
1999-11-05,"{""cash"": 100.0}"
1999-11-08,"{""cash"": 100.0}"
1999-11-09,"{""cash"": 100.0}"
1999-11-10,"{""cash"": 100.0}"
1999-11-11,"{""cash"": 100.0}"
1999-11-12,"{""cash"": 100.0}"
1999-11-15,"{""cash"": 100.0}"
1999-11-16,"{""cash"": 100.0}"
1999-11-17,"{""cash"": 100.0}"
1999-11-18,"{""cash"": 100.0}"
1999-11-19,"{""cash"": 100.0}"
1999-11-22,"{""cash"": 100.0}"
1999-11-23,"{""cash"": 100.0}"
1999-11-24,"{""cash"": 100.0}"
1999-11-26,"{""cash"": 100.0}"
1999-11-29,"{""cash"": 100.0}"
1999-11-30,"{""cash"": 100.0}"
1999-12-01,"{""cash"": 100.0}"
1999-12-02,"{""cash"": 100.0}"
1999-12-03,"{""cash"": 100.0}"
1999-12-06,"{""cash"": 100.0}"
1999-12-07,"{""cash"": 100.0}"
1999-12-08,"{""cash"": 100.0}"
1999-12-09,"{""cash"": 100.0}"
1999-12-10,"{""cash"": 100.0}"
1999-12-13,"{""cash"": 100.0}"
1999-12-14,"{""cash"": 100.0}"
1999-12-15,"{""cash"": 100.0}"
1999-12-16,"{""cash"": 100.0}"
1999-12-17,"{""cash"": 100.0}"
1999-12-20,"{""cash"": 100.0}"
1999-12-21,"{""cash"": 100.0}"
1999-12-22,"{""cash"": 100.0}"
1999-12-23,"{""cash"": 100.0}"
1999-12-27,"{""cash"": 100.0}"
1999-12-28,"{""cash"": 100.0}"
1999-12-29,"{""cash"": 100.0}"
1999-12-30,"{""cash"": 100.0}"
1999-12-31,"{""cash"": 100.0}"
2000-01-03,"{""cash"": 100.0}"
2000-01-04,"{""cash"": 100.0}"
2000-01-05,"{""cash"": 100.0}"
2000-01-06,"{""SQQQ"": 22.659230087218283, ""TQQQ"": 77.34076991278171}"
2000-01-07,"{""cash"": 100.0}"
2000-01-10,"{""cash"": 100.0}"
2000-01-11,"{""cash"": 100.0}"
2000-01-12,"{""cash"": 100.0}"
2000-01-13,"{""cash"": 100.0}"
2000-01-14,"{""cash"": 100.0}"
2000-01-18,"{""cash"": 100.0}"
2000-01-19,"{""cash"": 100.0}"
2000-01-20,"{""cash"": 100.0}"
2000-01-21,"{""cash"": 100.0}"
2000-01-24,"{""cash"": 100.0}"
2000-01-25,"{""cash"": 100.0}"
2000-01-26,"{""cash"": 100.0}"
2000-01-27,"{""cash"": 100.0}"
2000-01-28,"{""SQQQ"": 37.964342295050955, ""TQQQ"": 62.035657704949045}"
2000-01-31,"{""cash"": 100.0}"
2000-02-01,"{""cash"": 100.0}"
2000-02-02,"{""cash"": 100.0}"
2000-02-03,"{""cash"": 100.0}"
2000-02-04,"{""cash"": 100.0}"
2000-02-07,"{""cash"": 100.0}"
2000-02-08,"{""cash"": 100.0}"
2000-02-09,"{""cash"": 100.0}"
2000-02-10,"{""cash"": 100.0}"
2000-02-11,"{""cash"": 100.0}"
2000-02-14,"{""cash"": 100.0}"
2000-02-15,"{""cash"": 100.0}"
2000-02-16,"{""cash"": 100.0}"
2000-02-17,"{""cash"": 100.0}"
2000-02-18,"{""cash"": 100.0}"
2000-02-22,"{""cash"": 100.0}"
2000-02-23,"{""cash"": 100.0}"
2000-02-24,"{""cash"": 100.0}"
2000-02-25,"{""cash"": 100.0}"
2000-02-28,"{""cash"": 100.0}"
2000-02-29,"{""cash"": 100.0}"
2000-03-01,"{""cash"": 100.0}"
2000-03-02,"{""cash"": 100.0}"
2000-03-03,"{""cash"": 100.0}"
2000-03-06,"{""cash"": 100.0}"
2000-03-07,"{""cash"": 100.0}"
2000-03-08,"{""cash"": 100.0}"
2000-03-09,"{""cash"": 100.0}"
2000-03-10,"{""cash"": 100.0}"
2000-03-13,"{""cash"": 100.0}"
2000-03-14,"{""cash"": 100.0}"
2000-03-15,"{""SQQQ"": 6.875352716708094, ""TQQQ"": 93.1246472832919}"
2000-03-16,"{""cash"": 100.0}"
2000-03-17,"{""cash"": 100.0}"
2000-03-20,"{""cash"": 100.0}"
2000-03-21,"{""cash"": 100.0}"
2000-03-22,"{""cash"": 100.0}"
2000-03-23,"{""cash"": 100.0}"
